Starting to receive mocap frames...

{'id_num': 42, 'pos': (0.31221896409988403, 0.3320486843585968, -0.0023903693072497845), 'rot': (0.9261832237243652, 0.376679927110672, -0.00017982714052777737, 0.017234785482287407), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00018778443336486816}
{'id_num': 42, 'pos': (0.31221166253089905, 0.33204013109207153, -0.0023924633860588074), 'rot': (0.9261882305145264, 0.3766706585884094, -0.00017924921121448278, 0.0171652901917696), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017812623991630971}
{'id_num': 42, 'pos': (0.312212735414505, 0.3320431113243103, -0.002393419621512294), 'rot': (0.9261828064918518, 0.37668314576148987, -0.00016117855557240546, 0.017180897295475006), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00018980838649440557}
{'id_num': 42, 'pos': (0.3122161626815796, 0.3320502042770386, -0.0023952401243150234), 'rot': (0.9261680841445923, 0.3767220675945282, -0.0001616524823475629, 0.017124120146036148), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00019369422807358205}
{'id_num': 42, 'pos': (0.31220728158950806, 0.33204206824302673, -0.002393218455836177), 'rot': (0.9261850714683533, 0.37667784094810486, -0.00014831795124337077, 0.01718226633965969), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00018088295473717153}
{'id_num': 42, 'pos': (0.31220364570617676, 0.3320342004299164, -0.0023954131174832582), 'rot': (0.9261919260025024, 0.3766631484031677, -0.00014066003495827317, 0.01713164709508419), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017253868281841278}
{'id_num': 42, 'pos': (0.3122028708457947, 0.33203595876693726, -0.002394109033048153), 'rot': (0.9261931777000427, 0.37666115164756775, -0.00014874634507577866, 0.017106102779507637), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001754321128828451}
{'id_num': 42, 'pos': (0.31221234798431396, 0.3320467174053192, -0.002395936753600836), 'rot': (0.9261738657951355, 0.3767078220844269, -0.00013624475104734302, 0.017125330865383148), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00018738694780040532}
{'id_num': 42, 'pos': (0.31221961975097656, 0.3320578634738922, -0.0023966666776686907), 'rot': (0.9261578321456909, 0.3767477571964264, -0.00015468969650100917, 0.017117375507950783), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00018576308502815664}
{'id_num': 42, 'pos': (0.3122226893901825, 0.33206310868263245, -0.0023980492260307074), 'rot': (0.9261459708213806, 0.3767750561237335, -0.00016908367979340255, 0.017154620960354805), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00019557253108359873}
